Date,CO (ppm),NO2 (ppb),O3 (ppm),PM2.5 (ug/m3 LC),SO2 (ppb)
2021-04-27,0.0,15.0,0.04,3.6,1.0
2021-04-28,0.2,28.0,0.04,4.5,1.0
2021-04-29,0.3,49.0,0.05,5.4,2.0
2021-04-30,0.5,51.0,0.05,6.9,1.0
2021-05-01,0.5,25.0,0.05,5.2,0.0
2021-05-02,0.1,32.0,0.05,6.1,0.0
2021-05-03,0.1,24.0,0.04,4.7,0.0
2021-05-04,0.3,45.0,0.05,6.0,1.0
2021-05-05,0.5,54.0,0.05,8.6,2.0
2021-05-06,0.9,48.0,0.05,8.7,1.0
2021-05-07,0.2,36.0,0.05,7.2,0.0
2021-05-08,0.1,22.0,0.05,6.1,0.0
2021-05-09,0.2,20.0,0.06,6.6,0.0
2021-05-10,0.2,27.0,0.06,6.5,0.0
2021-05-11,0.3,50.0,0.06,9.0,2.0
2021-05-12,0.6,46.0,0.06,11.9,4.0
2021-05-13,0.2,38.0,0.06,9.3,0.0
2021-05-14,0.3,35.0,0.06,6.7,1.0
2021-05-15,0.1,22.0,0.05,4.1,0.0
2021-05-16,0.2,28.0,0.05,4.0,0.0
2021-05-17,0.1,26.0,0.05,3.4,1.0
2021-05-18,0.3,34.0,0.06,4.2,0.0
2021-05-19,0.3,30.0,0.06,3.9,0.0
2021-05-20,0.2,26.0,0.05,2.9,0.0
2021-05-21,0.2,9.0,0.06,3.5,0.0
2021-05-22,0.4,31.0,0.06,5.0,0.0
2021-05-23,0.6,45.0,0.06,7.1,1.0
2021-05-24,0.8,45.0,0.07,4.9,0.0
2021-05-25,0.7,54.0,0.06,5.7,1.0
2021-05-26,0.9,43.0,0.06,6.1,0.0
2021-05-27,0.5,36.0,0.06,6.9,1.0
2021-05-28,0.6,40.0,0.06,7.0,1.0
2021-05-29,0.4,24.0,0.06,4.7,0.0
2021-05-30,0.4,20.0,0.06,6.5,0.0
2021-05-31,0.3,23.0,0.06,5.5,0.0
2021-06-01,0.4,28.0,0.06,4.5,0.0
2021-06-02,0.4,29.0,0.06,5.8,1.0
2021-06-03,0.3,27.0,0.05,4.7,0.0
2021-06-04,0.3,28.0,0.06,4.8,1.0
2021-06-05,0.3,22.0,0.05,6.5,0.0
2021-06-06,0.4,20.0,0.05,4.9,1.0
2021-06-07,0.4,22.0,0.05,5.7,0.0
2021-06-08,0.4,40.0,0.05,4.4,1.0
2021-06-09,0.8,37.0,0.06,5.1,1.0
2021-06-10,0.4,26.0,0.05,4.5,0.0
2021-06-11,0.7,54.0,0.07,7.3,1.0
2021-06-12,1.1,48.0,0.07,6.9,1.0
2021-06-13,1.3,41.0,0.07,7.4,1.0
2021-06-14,0.6,33.0,0.05,7.4,1.0
2021-06-15,0.6,38.0,0.09,20.8,2.0
2021-06-16,0.7,41.0,0.07,12.1,1.0
2021-06-17,0.6,45.0,0.06,9.7,1.0
2021-06-18,0.6,28.0,0.06,10.7,1.0
2021-06-19,0.3,23.0,0.06,8.8,1.0
2021-06-20,0.4,15.0,0.06,8.6,0.0
2021-06-21,0.3,21.0,0.05,7.8,0.0
2021-06-22,0.4,20.0,0.05,8.5,0.0
2021-06-23,0.4,23.0,0.04,7.7,0.0
2021-06-24,0.5,29.0,0.06,6.9,0.0
2021-06-25,0.4,22.0,0.06,5.2,0.0
2021-06-26,0.5,43.0,0.06,7.4,1.0
2021-06-27,0.8,41.0,0.06,7.8,1.0
2021-06-28,0.4,15.0,0.07,7.6,4.0
2021-06-29,0.4,15.0,0.08,9.4,3.0
