Date,CO (ppm),NO2 (ppb),O3 (ppm),PM2.5 (ug/m3 LC),SO2 (ppb)
2021-04-27,0.4,30.6,0.04,4.9,0.6
2021-04-28,0.5,30.4,0.02,5.5,1.3
2021-04-29,0.5,34.8,0.04,6.0,2.1
2021-04-30,0.4,32.8,0.03,4.2,0.4
2021-05-01,0.4,20.0,0.03,3.7,0.3
2021-05-02,0.4,27.2,0.04,3.7,0.7
2021-05-03,0.4,22.1,0.03,4.2,0.5
2021-05-04,0.4,22.0,0.04,4.6,0.4
2021-05-05,0.6,38.7,0.02,6.4,0.7
2021-05-06,0.5,27.5,0.04,5.5,2.3
2021-05-07,0.3,27.4,0.04,3.4,0.2
2021-05-08,0.4,14.2,0.04,4.0,0.2
2021-05-09,0.4,18.3,0.04,3.2,0.3
2021-05-10,0.4,29.7,0.04,3.7,0.3
2021-05-11,0.4,23.3,0.04,5.1,0.4
2021-05-12,0.4,17.9,0.03,2.4,0.2
2021-05-13,0.5,16.5,0.04,3.5,0.4
2021-05-14,0.4,25.3,0.04,4.8,0.6
2021-05-15,0.4,32.4,0.04,6.8,0.6
2021-05-16,0.5,41.9,0.04,8.7,0.6
2021-05-17,0.3,24.3,0.04,3.5,0.4
2021-05-18,0.3,22.3,0.04,2.9,0.2
2021-05-19,0.4,25.2,0.04,2.6,0.2
2021-05-20,0.5,25.6,0.03,6.5,0.7
2021-05-21,0.5,25.9,0.03,8.3,1.0
2021-05-22,0.5,18.2,0.03,8.7,0.5
2021-05-23,0.3,9.0,0.04,3.0,0.4
2021-05-24,0.4,24.6,0.03,4.4,0.3
2021-05-25,0.4,21.2,0.03,4.1,0.4
2021-05-26,0.4,28.0,0.04,3.3,0.4
2021-05-27,0.4,23.9,0.03,3.9,0.3
2021-05-28,0.4,26.1,0.04,4.0,0.5
2021-05-29,0.4,21.5,0.04,3.7,0.4
2021-05-30,0.4,29.8,0.04,7.1,0.7
2021-05-31,0.4,35.2,0.04,7.2,1.0
2021-06-01,0.6,42.8,0.04,6.7,0.7
2021-06-02,0.5,35.7,0.04,8.0,2.0
2021-06-03,0.4,21.5,0.03,5.2,0.7
2021-06-04,0.4,23.8,0.03,4.0,0.5
2021-06-05,0.3,11.8,0.03,1.7,0.4
2021-06-06,0.3,13.2,0.03,2.2,0.4
2021-06-07,0.5,33.5,0.04,2.4,0.5
2021-06-08,0.4,27.5,0.04,4.0,0.9
