Date,CO (ppm),NO2 (ppb),O3 (ppm),PM2.5 (ug/m3 LC),SO2 (ppb)
2021-04-27,0.3,21.0,0.05,10.2,0.6
2021-04-28,0.6,43.1,0.05,14.6,1.0
2021-04-29,0.7,51.4,0.06,17.7,1.2
2021-04-30,0.8,40.3,0.07,17.9,1.4
2021-05-01,0.4,24.8,0.05,18.9,1.0
2021-05-02,0.2,16.2,0.05,14.7,0.6
2021-05-03,0.3,28.3,0.05,19.4,0.7
2021-05-04,0.4,28.0,0.06,23.4,0.7
2021-05-05,0.5,37.0,0.06,25.5,1.0
2021-05-06,0.4,19.6,0.05,21.1,0.5
2021-05-07,0.3,19.0,0.05,16.8,0.4
2021-05-08,0.3,13.3,0.05,16.8,0.5
2021-05-09,0.3,12.3,0.06,18.9,0.5
2021-05-10,0.2,12.4,0.04,16.4,0.5
2021-05-11,0.3,19.3,0.05,16.7,0.4
2021-05-12,0.3,21.2,0.05,16.2,0.3
2021-05-13,0.3,13.9,0.05,13.3,0.3
2021-05-14,0.3,20.0,0.05,16.4,0.5
2021-05-15,0.2,8.6,0.05,11.6,0.4
2021-05-16,0.2,9.0,0.04,8.1,0.4
2021-05-17,0.3,23.1,0.04,9.4,0.4
2021-05-18,0.3,20.3,0.05,13.7,0.4
2021-05-19,0.4,23.0,0.05,16.3,0.5
2021-05-20,0.2,14.5,0.05,17.2,0.5
2021-05-21,0.3,29.3,0.05,14.2,0.4
2021-05-22,0.2,13.2,0.05,14.3,0.5
2021-05-23,0.4,21.8,0.04,15.0,1.1
2021-05-24,0.5,49.6,0.06,15.8,1.0
2021-05-25,0.5,38.9,0.06,18.5,2.0
2021-05-26,0.3,24.4,0.04,19.6,0.7
2021-05-27,0.2,13.9,0.05,18.7,0.5
2021-05-28,0.3,18.3,0.05,20.8,0.6
2021-05-29,0.2,12.4,0.04,16.4,0.5
2021-05-30,0.2,8.9,0.05,15.4,0.5
2021-05-31,0.2,9.4,0.05,17.2,0.4
2021-06-01,0.4,19.2,0.05,22.0,0.4
2021-06-02,0.4,21.7,0.05,17.8,0.5
2021-06-03,0.3,20.7,0.05,16.1,0.6
2021-06-04,0.4,24.9,0.04,15.5,1.4
2021-06-05,0.3,15.5,0.05,14.3,0.5
2021-06-06,0.2,9.4,0.04,11.3,0.6
2021-06-07,0.2,17.6,0.04,9.0,0.5
2021-06-08,0.2,15.5,0.05,10.5,0.8
2021-06-09,0.4,26.0,0.04,12.6,1.4
2021-06-10,0.4,26.0,0.04,12.1,0.7
2021-06-11,0.5,28.0,0.06,18.0,1.0
2021-06-12,0.6,35.2,0.07,18.2,1.3
2021-06-13,0.4,21.0,0.06,14.9,0.7
2021-06-14,0.5,37.1,0.05,15.2,1.1
2021-06-15,0.6,47.2,0.06,19.1,1.4
2021-06-16,0.4,25.0,0.05,20.4,1.8
