Date,CO (ppm),NO2 (ppb),O3 (ppm),PM2.5 (ug/m3 LC),SO2 (ppb)
2021-04-27,0.3,24.1,0.04,5.1,0.4
2021-04-28,0.3,23.1,0.04,3.4,0.55
2021-04-29,0.4,37.9,0.06,4.5,0.7
2021-04-30,0.3,19.9,0.05,3.0,0.5
2021-05-01,0.3,14.9,0.05,2.6,1.5
2021-05-02,0.3,22.6,0.05,2.9,1.8
2021-05-03,0.3,20.9,0.04,2.8,0.5
2021-05-04,0.4,33.1,0.04,7.1,0.8
2021-05-05,0.3,28.2,0.05,4.7,1.3
2021-05-06,0.4,26.1,0.06,7.6,0.6
2021-05-07,0.3,23.0,0.06,4.7,0.8
2021-05-08,0.3,27.8,0.06,4.6,1.3
2021-05-09,0.2,10.7,0.04,2.5,0.4
2021-05-10,0.3,24.9,0.04,3.1,1.1
2021-05-11,0.3,31.1,0.03,4.1,0.6
2021-05-12,0.4,26.7,0.04,6.6,1.3
2021-05-13,0.3,29.7,0.04,4.8,1.2
2021-05-14,0.3,35.0,0.04,8.5,1.1
2021-05-15,0.3,19.7,0.05,15.6,0.9
2021-05-16,0.3,25.8,0.05,12.9,0.9
2021-05-17,0.3,30.2,0.05,9.6,1.4
2021-05-18,0.4,30.4,0.04,6.0,1.0
2021-05-19,0.4,31.2,0.04,3.9,1.3
2021-05-20,0.4,38.9,0.04,4.4,1.7
2021-05-21,0.4,17.1,0.04,4.6,0.9
2021-05-22,0.3,16.1,0.04,8.8,0.8
2021-05-23,0.3,21.2,0.06,4.0,1.1
2021-05-24,0.3,29.1,0.07,3.9,1.3
2021-05-25,0.3,22.0,0.06,3.0,0.8
2021-05-26,0.5,30.3,0.06,5.2,2.1
2021-05-27,0.3,23.5,0.06,3.6,1.1
2021-05-28,0.3,16.7,0.06,5.9,1.2
2021-05-29,0.3,34.0,0.05,9.0,1.0
2021-05-30,0.3,16.3,0.04,5.4,0.5
2021-05-31,0.2,20.8,0.04,4.9,0.6
2021-06-01,0.4,22.1,0.05,3.2,1.1
2021-06-02,0.3,16.9,0.06,3.3,0.9
2021-06-03,0.4,19.2,0.06,3.8,0.9
2021-06-04,0.4,24.2,0.07,4.2,0.6
2021-06-05,0.4,17.4,0.07,4.1,1.7
2021-06-06,0.2,17.9,0.05,2.9,0.8
2021-06-07,0.3,27.8,0.06,4.4,1.7
2021-06-08,0.4,34.1,0.06,8.1,0.7
2021-06-09,0.3,26.2,0.06,7.5,0.4
2021-06-10,0.5,43.3,0.06,10.7,1.1
2021-06-11,0.4,25.8,0.05,6.4,0.7
2021-06-12,0.3,33.5,0.06,8.7,1.0
2021-06-13,0.3,14.0,0.06,10.0,0.5
2021-06-14,0.3,18.3,0.07,8.0,0.7
2021-06-15,0.4,22.7,0.07,10.2,0.6
2021-06-16,0.4,25.3,0.07,15.9,0.6
2021-06-17,0.4,23.2,0.06,15.5,0.7
2021-06-18,0.4,27.2,0.07,11.2,0.8
2021-06-19,0.3,22.5,0.06,11.1,1.7
2021-06-20,0.3,13.6,0.06,6.1,1.0
2021-06-21,0.2,11.1,0.04,4.3,0.4
2021-06-22,0.4,31.4,0.08,9.7,2.4
2021-06-23,0.3,23.5,0.06,14.4,0.7
2021-06-24,0.3,19.2,0.06,9.3,0.8
2021-06-25,0.3,16.3,0.06,5.7,0.9
2021-06-26,0.3,19.6,0.05,3.5,0.7
2021-06-27,0.3,14.7,0.05,3.2,0.4
2021-06-28,0.3,19.4,0.06,4.0,0.7
2021-06-29,0.3,21.0,0.06,6.1,1.3
2021-06-30,0.3,17.2,0.07,6.1,1.0
2021-07-01,0.2,20.2,0.05,5.8,0.6
2021-07-02,0.3,16.7,0.06,5.8,0.6
2021-07-03,0.3,13.3,0.06,4.4,0.8
2021-07-04,0.3,12.9,0.07,10.7,2.8
2021-07-05,0.3,13.4,0.06,7.0,1.1
2021-07-06,0.3,17.0,0.07,7.0,0.8
2021-07-07,0.3,13.9,0.06,7.7,0.5
2021-07-08,0.3,19.7,0.06,6.0,1.5
2021-07-09,0.4,36.9,0.07,8.4,2.1
2021-07-10,0.3,9.4,0.08,9.6,0.5
2021-07-11,0.3,28.5,0.08,13.2,0.9
2021-07-12,0.4,37.1,0.09,18.6,0.9
2021-07-13,0.4,25.8,0.07,17.4,0.8
2021-07-14,0.4,22.4,0.05,15.8,1.1
2021-07-15,0.4,32.5,0.07,13.6,2.1
2021-07-16,0.4,24.1,0.08,15.5,1.2
2021-07-17,0.4,22.8,0.08,13.3,0.8
2021-07-18,0.4,27.0,0.08,11.7,1.6
2021-07-19,0.3,26.5,0.08,14.5,0.5
2021-07-20,0.4,44.1,0.08,17.1,1.0
2021-07-21,0.4,24.5,0.08,11.0,0.9
2021-07-22,0.5,25.7,0.09,7.8,1.3
2021-07-23,0.4,31.7,0.07,7.6,1.0
2021-07-24,0.4,24.7,0.07,19.2,0.7
2021-07-25,0.4,14.0,0.07,19.6,0.7
2021-07-26,0.4,25.0,0.08,14.1,1.0
2021-07-27,0.4,34.6,0.08,10.4,1.0
2021-07-28,0.4,28.7,0.08,9.8,2.1
2021-07-29,0.4,23.2,0.08,11.4,0.9
2021-07-30,0.3,24.9,0.08,10.6,1.5
2021-07-31,0.4,12.3,0.07,17.4,0.6
2021-08-01,0.5,27.0,0.07,35.3,0.6
2021-08-02,0.5,22.9,0.08,27.2,0.9
