"Date","Source","Site ID","POC","O3","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/30/2023","AQS","420030008","1","0.022","ppm","20","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"01/31/2023","AQS","420030008","1","0.028","ppm","26","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"02/01/2023","AQS","420030008","1","0.031","ppm","29","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"02/02/2023","AQS","420030008","1","0.031","ppm","29","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"02/03/2023","AQS","420030008","1","0.033","ppm","31","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"02/04/2023","AQS","420030008","1","0.029","ppm","27","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"02/05/2023","AQS","420030008","1","0.034","ppm","31","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"02/06/2023","AQS","420030008","1","0.028","ppm","26","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"02/07/2023","AQS","420030008","1","0.032","ppm","30","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"02/08/2023","AQS","420030008","1","0.024","ppm","22","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
